,title,price,year,link,type,color,age
0,vintage 60s raleigh colt bike,35,,https://baltimore.craigslist.org/bik/d/baltimore-vintage-60s-raleigh-colt-bike/7823680747.html,missing,missing,
1,tulsa huffy navy blue bike,15,,https://baltimore.craigslist.org/bik/d/baltimore-tulsa-huffy-navy-blue-bike/7823682187.html,missing,blue,
2,roadmaster mt sport sx 18 speed torque drive bike,20,,https://baltimore.craigslist.org/bik/d/baltimore-roadmaster-mt-sport-sx-18/7823675494.html,missing,missing,
3,fuji espree vintage 80s touring bike,35,,https://baltimore.craigslist.org/bik/d/baltimore-fuji-espree-vintage-80s/7823678511.html,missing,missing,
4,huffy ultima 10 speed bike,15,,https://baltimore.craigslist.org/bik/d/baltimore-huffy-ultima-10-speed-bike/7823672791.html,missing,missing,
5,stonegrinder stone grinder motiv bike,15,,https://baltimore.craigslist.org/bik/d/baltimore-stonegrinder-stone-grinder/7823667385.html,missing,missing,
6,mongoose crossway 350 bike,25,,https://baltimore.craigslist.org/bik/d/baltimore-mongoose-crossway-350-bike/7823665080.html,missing,missing,
7,2024 honda rebel,9,2024.0,https://norfolk.craigslist.org/bik/d/norfolk-2024-honda-rebel/7824301324.html,missing,missing,1.0
8,xs specialized ruby wsd carbon road bike,750,,https://washingtondc.craigslist.org/doc/bik/d/falls-church-xs-specialized-ruby-wsd/7824297728.html,road,missing,
9,xs kona lisa wsd road bike,400,,https://washingtondc.craigslist.org/doc/bik/d/falls-church-xs-kona-lisa-wsd-road-bike/7824296614.html,road,missing,
10,raleigh 24”,40,,https://fredericksburg.craigslist.org/bik/d/culpeper-raleigh-24/7824296470.html,missing,missing,
11,cannondale,100,,https://fredericksburg.craigslist.org/bik/d/culpeper-cannondale/7824296015.html,missing,missing,
12,excellent 24 inch mountain bike,100,,https://washingtondc.craigslist.org/mld/bik/d/rockville-excellent-24-inch-mountain/7824295726.html,mountain,missing,
13,"20"" fuji sandblaster mountain bike",80,,https://washingtondc.craigslist.org/mld/bik/d/rockville-20-fuji-sandblaster-mountain/7820280009.html,mountain,missing,
14,"fully restored trek 20"" mountain bike!",140,,https://washingtondc.craigslist.org/mld/bik/d/rockville-fully-restored-trek-20/7818369794.html,mountain,missing,
15,like new huffy seastar bike,50,,https://washingtondc.craigslist.org/mld/bik/d/rockville-like-new-huffy-seastar-bike/7818031695.html,missing,missing,
16,"reduced-nishiki pueblo 24"" mountain bike",120,,https://washingtondc.craigslist.org/mld/bik/d/rockville-reduced-nishiki-pueblo-24/7819453631.html,mountain,missing,
17,like new schwinn 24 inch bike,95,,https://washingtondc.craigslist.org/mld/bik/d/rockville-like-new-schwinn-24-inch-bike/7823378703.html,missing,missing,
18,"like new nishiki pueblo 20"" bike",110,,https://washingtondc.craigslist.org/mld/bik/d/rockville-like-new-nishiki-pueblo-20/7823733846.html,missing,missing,
19,"20"" haro midway bmx bike",250,,https://norfolk.craigslist.org/bik/d/chesapeake-20-haro-midway-bmx-bike/7816917858.html,bmx,missing,
20,"20"" cult gateway bmx bike",250,,https://norfolk.craigslist.org/bik/d/chesapeake-20-cult-gateway-bmx-bike/7821339097.html,bmx,missing,
21,vintage schwinn bicycle rack rear carrier,60,,https://norfolk.craigslist.org/bik/d/chesapeake-vintage-schwinn-bicycle-rack/7824293534.html,missing,missing,
22,rare 3g ggg show time chopper beach cruiser,350,,https://norfolk.craigslist.org/bik/d/chesapeake-rare-3g-ggg-show-time/7824293392.html,beach,missing,
23,"rare vtg 1980s miele aries 800 men's mountain bike - 20"" / 18 speeds",500,1980.0,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-rare-vtg-1980s-miele-aries/7821132142.html,mountain,missing,45.0
24,"trailmate desoto 24"" classic adult tricycle",250,,https://norfolk.craigslist.org/bik/d/chesapeake-trailmate-desoto-24-classic/7820055558.html,missing,missing,
25,carbon fiber bicycle,120,,https://baltimore.craigslist.org/bik/d/baltimore-carbon-fiber-bicycle/7824291221.html,missing,missing,
26,torker bermuda tandem,250,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-torker-bermuda-tandem/7821276898.html,missing,missing,
27,trek 7.1 fx hybrid,250,,https://norfolk.craigslist.org/bik/d/chesapeake-trek-71-fx-hybrid/7822578391.html,missing,missing,
28,saris bones bike rack,100,,https://norfolk.craigslist.org/bik/d/chesapeake-saris-bones-bike-rack/7821986367.html,missing,missing,
